Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.03300095,10.23600006,11.24300003,11.92500019,12.64299965,15.85499954,13.88000011,13.28899956,12.72000027,16.10000038,14.58500004,13.07400036,10,9.982000351,10.05599976,10.61800003,11.18700027
"Congo, Rep.",COG,"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,4.363207547,8.02259887,8.577405858,6.262042389,4.805077063,4.411764706,5.385252693,5.000157233,5.579553939,-3.186414778,6.256173324,8.389981681,5.55877042,7.987405711,8.069057103,5.240000013,5.373371652
"Congo, Rep.",COG,Urban population (% of total),SP.URB.TOTL.IN.ZS,58.695,59.156,59.617,60.076,60.533,60.988,61.441,61.893,62.341,62.786,63.228,63.666,64.1,64.531,64.957,65.38,65.798
"Congo, Rep.",COG,Rural population (% of total population),SP.RUR.TOTL.ZS,41.305,40.844,40.383,39.924,39.467,39.012,38.559,38.107,37.659,37.214,36.772,36.334,35.9,35.469,35.043,34.62,34.202
"Congo, Rep.",COG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,30.55557773,20.33909311,22.62357155,4.101224468,19.76073274,16.58557686,5.876510752,15.15159464,,,,,,,,,
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3551.0935,3667.709208,3790.19575,3791.130711,3915.741745,4223.075367,4474.881179,4369.053334,4543.927309,4760.444179,5081.434342,5213.946937,5368.266975,5502.484191,5833.764772,5901.682602,5718.788841
"Congo, Rep.",COG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.595113178,0.982643623,1.777185896,-1.930885431,0.522812427,4.486666389,2.804197998,-4.895969042,2.001682235,3.975347194,5.454888977,0.53216465,1.09748692,0.871120616,4.155808715,0.087359076,-4.356862976
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,998.1968921,842.7090677,886.3616653,998.1013117,1289.337837,1637.064381,2012.11007,2111.209489,2881.594292,2255.332879,2737.342365,3196.647534,2952.052348,2964.573152,2910.520153,1712.121131,1528.24483
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.575980392,3.8026019,4.581870061,0.813264075,3.476631623,7.755758978,6.235997013,-1.58222275,5.572264173,7.468878032,8.751655799,3.42062127,3.799995854,3.440705249,6.779940953,2.646447938,-1.86466295
"Congo, Rep.",COG,CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,0.072569963,0.051089178,0.036696604,0.057962693,0.058031798,0.055726346,0.059697194,0.065827675,0.067251024,0.081508129,0.084619684,0.094912245,0.097593518,0.098266347,,,
"Congo, Rep.",COG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.325124228,0.231136261,0.168972288,0.261740193,0.263422291,0.264306556,0.291079843,0.305257019,0.318099788,0.400862823,0.438867046,0.494867408,0.514431958,0.522490773,,,
"Congo, Rep.",COG,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,63.31558997,75.89242738,72.42322011,95.23704614,70.30861305,70.34722109,81.46028888,74.99362907,71.85099485,79.78745131,69.5782538,70.55267867,76.55412044,89.53952328,97.26587838,127.0947427,122.3504112
